1.0146,0.99887,0.98206,1.0045
1.0646,1.015,1.098,0.82236
0.98916,1.0022,1.0058,1.0028
1.0481,0.99262,0.98426,0.97498
0.98659,0.9528,1.032,1.0286
1.0448,0.97103,1.0801,0.9041
1.0067,1.0148,0.98955,0.98892
0.99834,0.9761,1.0421,0.98346
0.95097,0.9992,1.0545,0.99529
1.0312,1.0209,0.9974,0.95047
1.02,0.99884,0.97054,1.0106
1.0045,0.9815,1.008,1.0061
1.0127,1.0067,1.0017,0.97886
0.9633,1.0169,1.0096,1.0102
0.98474,0.98069,1.0226,1.012
1.0259,0.98987,0.9993,0.98495
1.0019,0.95119,1.0223,1.0246
1.0021,0.99621,1.0191,0.98268
1.0422,1.0155,0.96711,0.9752
1.0258,1.0117,0.99053,0.972
