"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"39"	NA	"3.03"	"2.95"
"56"	NA	"3.05"	"2.92"
"73"	NA	"3.04"	"2.95"
"89"	NA	"3.02"	"2.94"
"106"	NA	"2.97"	"2.93"
"121"	NA	NA	NA
"123"	NA	"3"	"2.91"
"139"	NA	NA	"2.9"
"156"	NA	NA	"2.91"
"173"	NA	"2.97"	"2.9"
"189"	NA	"2.92"	"2.9"
"206"	NA	"2.96"	"2.85"
"223"	NA	"2.91"	"2.86"
"239"	NA	"2.94"	"2.85"
"256"	NA	"2.89"	"2.85"
"273"	NA	"2.91"	"2.82"
"289"	NA	"2.89"	"2.84"
"306"	NA	"2.87"	"2.81"
"323"	NA	"2.85"	"2.83"
"339"	NA	"2.92"	"2.81"
"356"	NA	"2.9"	"2.8"
"373"	NA	"2.88"	"2.77"
"389"	NA	"2.85"	"2.78"
"406"	NA	"2.82"	"2.74"
"423"	NA	"2.82"	"2.76"
"439"	NA	"2.82"	"2.76"
"456"	NA	"2.81"	"2.74"
"473"	NA	"2.98"	"2.73"
"489"	NA	"2.81"	"2.72"
"506"	NA	"2.78"	"2.72"
"523"	NA	"2.78"	"2.71"
"539"	NA	"2.77"	"2.72"
"556"	NA	"2.79"	"2.73"
"573"	NA	"2.77"	"2.73"
"589"	NA	"2.73"	"2.69"
"606"	NA	"2.79"	NA
"623"	NA	NA	NA
"639"	NA	NA	NA
"656"	NA	NA	NA
"673"	NA	NA	NA
"689"	NA	NA	NA
"706"	NA	NA	NA
"723"	NA	NA	NA
"739"	NA	NA	NA
"756"	NA	"2.2000000000000002"	"2.21"
"772"	NA	"2.74"	NA
"789"	NA	"2.61"	"3"
"806"	NA	"2.91"	"3.03"
"823"	NA	"2.96"	"3.06"
"839"	NA	"2.84"	"3.13"
"856"	NA	"3.03"	"2.84"
"873"	NA	"3.02"	"3.31"
"889"	NA	"3.07"	"2.92"
"906"	NA	"3.1"	"2.93"
"923"	NA	"2.94"	"2.93"
"939"	NA	"3"	"2.96"
"956"	NA	"2.91"	"2.96"
