"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"41"	NA	NA	NA
"42"	NA	"3.39"	"3.28"
"59"	NA	"3.34"	"3.24"
"76"	NA	"3.33"	"3.2"
"92"	NA	"3.28"	"3.13"
"109"	NA	"3.27"	"3.1"
"126"	NA	"3.23"	"3.05"
"142"	NA	"3.21"	"3.06"
"159"	NA	"3.18"	"3.03"
"176"	NA	"3.16"	"3.02"
"192"	NA	"3.14"	"3"
"209"	NA	"3.11"	"2.98"
"226"	NA	"3.09"	"2.94"
"231"	NA	NA	NA
"242"	NA	"3.09"	"2.96"
"259"	NA	"3.06"	"2.91"
"276"	NA	"3.06"	"2.91"
"292"	NA	"3"	"2.89"
"309"	NA	"3.02"	"2.89"
"326"	NA	"3"	"2.87"
"342"	NA	"2.99"	"2.83"
"359"	NA	"2.98"	"2.82"
"376"	NA	"2.97"	"2.79"
"393"	NA	"2.95"	"2.8"
"409"	NA	"2.95"	"2.77"
"426"	NA	"2.93"	"2.77"
"443"	NA	"2.92"	"2.79"
"459"	NA	"2.93"	"2.76"
"476"	NA	"2.89"	"2.74"
"493"	NA	"2.9"	"2.74"
"509"	NA	"2.91"	"2.77"
"526"	NA	"2.9"	"2.74"
"543"	NA	"2.9"	"2.73"
"559"	NA	"2.9"	"2.74"
"576"	NA	"2.92"	"2.72"
"593"	NA	"2.93"	"2.71"
"609"	NA	"2.9"	"2.7"
"626"	NA	"2.96"	"2.7"
"643"	NA	"2.93"	"2.71"
"659"	NA	"2.92"	"2.7"
"676"	NA	"2.97"	"2.69"
"693"	NA	"2.95"	"2.72"
"709"	NA	"2.95"	"2.72"
"726"	NA	"2.96"	"2.73"
"743"	NA	"2.98"	"2.74"
"759"	NA	"2.96"	"2.73"
"776"	NA	"2.99"	"2.74"
"793"	NA	"3.02"	"2.79"
"809"	NA	"2.99"	"2.77"
"826"	NA	"3"	"2.8"
"843"	NA	"3.03"	"2.8"
"859"	NA	"3.05"	"2.79"
"876"	NA	"3.05"	"2.82"
"893"	NA	"3.05"	"2.84"
"909"	NA	"3.08"	"2.84"
"926"	NA	"3.07"	"2.86"
"943"	NA	"3.05"	"2.87"
"959"	NA	"3.09"	"2.89"
"976"	NA	"3.11"	"2.92"
"993"	NA	"3.12"	"2.9"
"1009"	NA	"3.12"	"2.94"
"1026"	NA	"3.15"	"2.94"
"1043"	NA	"3.14"	"2.97"
"1059"	NA	"3.19"	"2.96"
"1076"	NA	"3.16"	"2.98"
"1093"	NA	"3.18"	"2.97"
"1109"	NA	"3.18"	"3.01"
"1126"	NA	"3.22"	"3.04"
"1143"	NA	"3.23"	"3.06"
"1159"	NA	"3.23"	"3.04"
"1176"	NA	"3.24"	"3.08"
"1193"	NA	"3.24"	"3.1"
"1209"	NA	"3.27"	"3.1"
"1226"	NA	"3.27"	"3.09"
"1243"	NA	"3.28"	"3.08"
"1259"	NA	"3.31"	"3.13"
"1276"	NA	"3.33"	"3.11"
"1293"	NA	"3.3"	"3.12"
"1309"	NA	"3.31"	"3.14"
"1326"	NA	"3.32"	"3.18"
"1343"	NA	"3.32"	"3.16"
"1359"	NA	"3.33"	"3.18"
"1376"	NA	"3.34"	"3.15"
"1393"	NA	"3.37"	"3.24"
"1409"	NA	"3.39"	"3.2"
"1426"	NA	"3.38"	"3.2"
"1443"	NA	"3.38"	"3.19"
"1459"	NA	"3.37"	"3.23"
"1476"	NA	"3.38"	"3.21"
"1492"	NA	"3.42"	"3.24"
"1509"	NA	"3.41"	"3.26"
"1526"	NA	"3.44"	"3.27"
"1542"	NA	"3.43"	"3.26"
"1559"	NA	"3.46"	"3.27"
"1576"	NA	"3.44"	"3.25"
"1592"	NA	"3.45"	"3.28"
"1609"	NA	"3.44"	"3.27"
