"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"44"	NA	"3.15"	"3.16"
"61"	NA	"3.29"	"3.16"
"78"	NA	"3.4"	"3.12"
"94"	NA	"3.41"	"3.09"
"111"	NA	"3.16"	"3.15"
"128"	NA	"3.23"	"3.15"
"129"	NA	NA	NA
"144"	NA	"3.34"	"3.12"
"161"	NA	"3.54"	"3.12"
"178"	NA	"3.48"	"3.14"
"194"	NA	"3.37"	"3.12"
"211"	NA	"3.4"	"3.13"
"228"	NA	"3.36"	"3.13"
"244"	NA	"3.28"	"3.23"
"261"	NA	"3.22"	"3.21"
"278"	NA	"3.36"	"3.1"
"294"	NA	"3.39"	"3.2"
"311"	NA	"3.4"	"3.28"
"328"	NA	"3.41"	"3.21"
"344"	NA	"3.59"	"3.24"
"361"	NA	"3.46"	"3.21"
"378"	NA	"3.38"	"3.23"
"394"	NA	"3.47"	"3.33"
"411"	NA	"3.41"	"3.26"
"428"	NA	"3.41"	"3.34"
"444"	NA	"3.47"	"3.31"
"461"	NA	"3.33"	"3.3"
"478"	NA	"3.26"	"3.3"
"494"	NA	"3.48"	"3.36"
"511"	NA	"3.61"	"3.41"
"528"	NA	"3.37"	"3.3"
"544"	NA	"3.36"	"3.21"
"561"	NA	"3.37"	"3.3"
"578"	NA	"3.43"	"3.32"
"594"	NA	"3.36"	"3.41"
"611"	NA	"3.51"	"3.4"
"628"	NA	"3.48"	"3.37"
"644"	NA	"3.51"	"3.3"
"661"	NA	"3.45"	"3.3"
"678"	NA	"3.53"	"3.48"
"694"	NA	"3.42"	"3.4"
"711"	NA	"3.6"	"3.52"
"728"	NA	"3.45"	"3.37"
"744"	NA	"3.7"	"3.45"
"761"	NA	"3.56"	"3.49"
"778"	NA	"3.65"	"3.45"
"794"	NA	"3.53"	"3.58"
"811"	NA	"3.6"	"3.53"
"828"	NA	"3.65"	"3.54"
"844"	NA	"3.75"	"3.44"
"861"	NA	"3.49"	"3.57"
"877"	NA	"3.54"	"3.54"
"894"	NA	"3.59"	"3.64"
"911"	NA	"3.63"	"3.63"
"927"	NA	"3.67"	"3.6"
"944"	NA	"3.57"	"3.54"
"961"	NA	"3.65"	"3.59"
"977"	NA	"3.67"	"3.62"
"994"	NA	"3.63"	"3.62"
"1011"	NA	"3.62"	"3.63"
"1027"	NA	"3.84"	"3.63"
"1044"	NA	"3.71"	"3.66"
"1061"	NA	"3.83"	"3.75"
"1077"	NA	"3.71"	"3.74"
"1094"	NA	"3.71"	"3.72"
"1111"	NA	"3.85"	"3.72"
"1128"	NA	"3.79"	"3.78"
"1144"	NA	"3.95"	"3.78"
"1161"	NA	"3.65"	"3.78"
"1178"	NA	"3.67"	"3.78"
"1194"	NA	"3.63"	"3.81"
"1211"	NA	"3.72"	"3.81"
