"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"45"	NA	NA	NA
"62"	NA	NA	NA
"78"	NA	NA	NA
"95"	NA	NA	NA
"110"	NA	NA	NA
"112"	NA	NA	NA
"128"	NA	NA	NA
"146"	NA	NA	NA
"162"	NA	NA	NA
"178"	NA	NA	NA
"196"	NA	NA	NA
"212"	NA	NA	NA
"228"	NA	NA	NA
"245"	NA	NA	NA
"262"	NA	NA	NA
"278"	NA	NA	NA
"295"	NA	NA	NA
"312"	NA	NA	NA
"329"	NA	NA	NA
"345"	NA	NA	NA
"362"	NA	NA	NA
"378"	NA	NA	NA
"396"	NA	NA	NA
"412"	NA	NA	NA
"429"	NA	NA	NA
"445"	NA	NA	NA
"462"	NA	NA	NA
"479"	NA	NA	NA
"495"	NA	NA	NA
"512"	NA	NA	NA
"529"	NA	NA	NA
"545"	NA	NA	NA
"562"	NA	NA	NA
"578"	NA	NA	NA
"596"	NA	"3.62"	NA
"612"	NA	NA	NA
"628"	NA	NA	NA
"646"	NA	NA	NA
"662"	NA	NA	NA
"679"	NA	NA	NA
"695"	NA	NA	NA
"713"	NA	NA	NA
"731"	NA	NA	NA
"749"	NA	NA	NA
"766"	NA	NA	NA
"784"	NA	NA	NA
"801"	NA	NA	NA
"819"	NA	NA	NA
"836"	NA	NA	NA
"853"	NA	NA	NA
"871"	NA	NA	NA
"889"	NA	NA	NA
"907"	NA	NA	NA
"925"	NA	NA	NA
"942"	NA	NA	NA
"960"	NA	NA	NA
"978"	NA	NA	NA
"995"	NA	NA	NA
"1013"	NA	"3.67"	"3.66"
"1031"	NA	NA	NA
"1048"	NA	NA	NA
"1065"	NA	NA	NA
"1084"	NA	NA	NA
"1101"	NA	NA	NA
"1118"	NA	NA	NA
"1137"	NA	NA	NA
"1153"	NA	NA	NA
"1170"	NA	NA	NA
"1187"	NA	NA	NA
"1203"	NA	NA	NA
"1220"	NA	NA	NA
"1237"	NA	NA	NA
"1255"	NA	NA	NA
"1272"	NA	NA	NA
"1290"	NA	NA	NA
"1307"	NA	NA	NA
"1324"	NA	NA	NA
"1341"	NA	NA	NA
"1358"	NA	NA	NA
"1375"	NA	NA	NA
"1393"	NA	NA	NA
"1410"	NA	NA	NA
"1427"	NA	NA	NA
"1444"	NA	NA	NA
"1461"	NA	NA	NA
"1479"	NA	NA	NA
"1497"	NA	NA	NA
"1514"	NA	NA	NA
"1532"	NA	NA	NA
"1549"	NA	NA	NA
"1567"	NA	NA	NA
"1583"	NA	NA	NA
"1600"	NA	NA	NA
"1618"	NA	NA	NA
"1635"	NA	NA	NA
"1653"	NA	NA	NA
"1670"	NA	NA	NA
"1687"	NA	NA	NA
"1705"	NA	NA	NA
"1722"	NA	NA	NA
"1739"	NA	NA	NA
"1756"	NA	NA	NA
"1774"	NA	NA	NA
"1791"	NA	NA	NA
"1808"	NA	NA	NA
"1826"	NA	NA	NA
"1843"	NA	NA	NA
"1860"	NA	NA	NA
"1877"	NA	NA	NA
"1895"	NA	NA	NA
"1912"	NA	NA	NA
"1930"	NA	NA	NA
"1947"	NA	NA	NA
"1965"	NA	NA	NA
"1982"	NA	NA	NA
"1999"	NA	NA	NA
"2017"	NA	NA	NA
"2034"	NA	NA	NA
"2052"	NA	NA	NA
"2069"	NA	NA	NA
"2086"	NA	NA	NA
"2103"	NA	NA	NA
"2120"	NA	NA	NA
"2138"	NA	NA	NA
"2156"	NA	NA	NA
"2173"	NA	NA	NA
"2190"	NA	NA	NA
"2208"	NA	"1.82"	"1.83"
"2225"	NA	NA	NA
"2242"	NA	NA	NA
"2259"	NA	"1.94"	"1.94"
"2275"	NA	NA	NA
"2292"	NA	NA	NA
"2308"	NA	NA	NA
"2325"	NA	NA	NA
"2342"	NA	NA	NA
"2359"	NA	"1.55"	"1.55"
"2375"	NA	NA	NA
"2392"	NA	"1.58"	"1.59"
"2408"	NA	NA	NA
"2425"	NA	NA	NA
"2442"	NA	NA	NA
"2459"	NA	NA	NA
"2475"	NA	NA	NA
"2492"	NA	NA	NA
"2509"	NA	NA	NA
"2525"	NA	NA	NA
"2542"	NA	NA	NA
"2558"	NA	NA	NA
"2575"	NA	NA	NA
"2592"	NA	NA	NA
"2608"	NA	NA	NA
"2625"	NA	NA	NA
"2642"	NA	NA	NA
"2659"	NA	NA	NA
"2675"	NA	NA	NA
"2692"	NA	NA	NA
"2709"	NA	NA	NA
"2725"	NA	NA	NA
"2742"	NA	NA	NA
"2759"	NA	NA	NA
"2775"	NA	NA	NA
"2792"	NA	NA	NA
"2809"	NA	NA	NA
"2825"	NA	NA	NA
"2842"	NA	NA	NA
"2859"	NA	NA	NA
"2875"	NA	NA	NA
"2892"	NA	NA	NA
"2909"	NA	NA	NA
"2925"	NA	NA	NA
"2942"	NA	NA	NA
"2958"	NA	NA	NA
"2975"	NA	NA	NA
"2992"	NA	NA	NA
"3009"	NA	NA	NA
"3025"	NA	NA	NA
"3042"	NA	NA	NA
"3058"	NA	NA	NA
"3075"	NA	NA	NA
"3092"	NA	NA	NA
"3109"	NA	NA	NA
"3126"	NA	NA	NA
"3142"	NA	NA	NA
"3159"	NA	NA	NA
"3176"	NA	NA	NA
"3193"	NA	NA	NA
"3209"	NA	NA	NA
"3226"	NA	NA	NA
"3243"	NA	NA	NA
"3259"	NA	NA	NA
"3276"	NA	NA	NA
"3293"	NA	NA	NA
"3309"	NA	NA	NA
"3326"	NA	NA	NA
"3343"	NA	NA	NA
"3360"	NA	NA	NA
"3376"	NA	NA	NA
"3393"	NA	NA	NA
"3410"	NA	NA	NA
"3427"	NA	NA	NA
"3443"	NA	NA	NA
"3460"	NA	NA	NA
"3477"	NA	NA	NA
"3494"	NA	"1.95"	NA
"3510"	NA	NA	NA
"3527"	NA	NA	NA
"3543"	NA	NA	NA
"3561"	NA	NA	NA
"3577"	NA	NA	NA
"3595"	NA	NA	NA
"3612"	NA	NA	NA
"3629"	NA	NA	NA
"3646"	NA	NA	NA
"3663"	NA	NA	NA
"3679"	NA	NA	NA
"3696"	NA	NA	NA
"3713"	NA	NA	NA
"3729"	NA	NA	NA
"3746"	NA	NA	NA
"3763"	NA	NA	NA
"3779"	NA	NA	NA
"3796"	NA	NA	NA
"3813"	NA	NA	NA
"3829"	NA	NA	NA
"3846"	NA	NA	NA
"3863"	NA	NA	NA
"3879"	NA	NA	NA
"3897"	NA	NA	NA
"3913"	NA	NA	NA
"3930"	NA	NA	NA
"3947"	NA	NA	NA
"3964"	NA	NA	NA
"3980"	NA	NA	NA
"3997"	NA	NA	NA
"4014"	NA	NA	NA
"4030"	NA	NA	NA
"4047"	NA	NA	NA
"4063"	NA	NA	NA
"4081"	NA	NA	NA
"4097"	NA	NA	NA
"4114"	NA	NA	NA
"4131"	NA	"5.04"	"5.0599999999999996"
"4147"	NA	NA	NA
"4164"	NA	NA	NA
"4181"	NA	NA	NA
"4198"	NA	NA	NA
"4215"	NA	NA	NA
"4232"	NA	NA	NA
"4248"	NA	NA	NA
"4264"	NA	NA	NA
"4282"	NA	NA	NA
"4298"	NA	NA	NA
"4315"	NA	NA	NA
"4332"	NA	NA	NA
"4348"	NA	NA	NA
"4365"	NA	NA	NA
"4382"	NA	NA	NA
"4398"	NA	NA	NA
"4415"	NA	NA	NA
"4432"	NA	NA	NA
"4449"	NA	NA	NA
"4465"	NA	NA	NA
"4482"	NA	NA	NA
"4499"	NA	NA	NA
"4515"	NA	NA	NA
"4532"	NA	NA	NA
"4549"	NA	NA	NA
"4566"	NA	NA	NA
"4582"	NA	NA	NA
"4599"	NA	NA	NA
"4616"	NA	NA	NA
"4632"	NA	NA	NA
"4649"	NA	NA	NA
"4666"	NA	NA	NA
"4682"	NA	NA	NA
"4699"	NA	NA	NA
"4716"	NA	NA	NA
"4732"	NA	NA	NA
"4749"	NA	NA	NA
"4765"	NA	NA	NA
"4782"	NA	NA	NA
"4799"	NA	NA	NA
"4815"	NA	NA	NA
"4832"	NA	NA	NA
"4849"	NA	NA	NA
"4865"	NA	NA	NA
"4882"	NA	NA	NA
"4899"	NA	NA	NA
"4915"	NA	NA	NA
"4932"	NA	NA	NA
"4949"	NA	NA	NA
"4965"	NA	NA	NA
"4982"	NA	NA	NA
"4999"	NA	NA	NA
"5015"	NA	NA	NA
"5032"	NA	NA	NA
"5049"	NA	NA	NA
"5065"	NA	NA	NA
"5082"	NA	NA	NA
"5099"	NA	NA	NA
"5115"	NA	NA	NA
"5132"	NA	NA	NA
"5149"	NA	NA	NA
"5165"	NA	NA	NA
"5182"	NA	NA	NA
"5199"	NA	NA	NA
"5215"	NA	NA	NA
"5220"	NA	NA	NA
"5236"	NA	NA	NA
"5253"	NA	NA	NA
"5270"	NA	NA	NA
"5286"	NA	NA	NA
"5303"	NA	NA	NA
"5320"	NA	NA	NA
"5321"	NA	NA	NA
"5338"	NA	NA	NA
"5355"	NA	NA	NA
"5371"	NA	NA	NA
"5388"	NA	NA	NA
