"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"45"	NA	"3.22"	"3.25"
"62"	NA	"3.22"	"3.26"
"78"	NA	"3.22"	"3.24"
"95"	NA	"3.22"	"3.22"
"112"	NA	"3.21"	"3.24"
"128"	NA	"3.21"	"3.23"
"129"	NA	NA	NA
"145"	NA	"3.2"	"3.2"
"162"	NA	"3.19"	"3.19"
"178"	NA	"3.19"	"3.18"
"195"	NA	"3.19"	"3.19"
"212"	NA	"3.17"	"3.15"
"228"	NA	"3.15"	"3.13"
"245"	NA	"3.14"	"3.13"
"262"	NA	"3.15"	"3.1"
"278"	NA	"3.11"	"3.07"
"295"	NA	NA	"3.07"
"312"	NA	"3.09"	"3.04"
"328"	NA	"3.09"	"3.04"
"345"	NA	"3.09"	"3.01"
"362"	NA	"3.06"	"3"
"378"	NA	"3.04"	"2.98"
"395"	NA	"3.03"	"2.97"
"412"	NA	"3.03"	"2.97"
"428"	NA	"3.02"	"2.95"
"445"	NA	"3.02"	"2.93"
"462"	NA	"3.01"	"2.94"
"478"	NA	"3"	"2.93"
"495"	NA	"2.97"	"2.94"
"512"	NA	"3.01"	"2.95"
"528"	NA	"2.96"	"2.95"
"545"	NA	"3"	"2.92"
"562"	NA	"2.97"	"2.95"
"578"	NA	"2.96"	"2.96"
"595"	NA	"2.98"	"2.94"
"612"	NA	"2.95"	"2.93"
"628"	NA	"2.94"	"2.93"
"645"	NA	"2.94"	"2.92"
"662"	NA	"2.92"	"2.94"
"678"	NA	"2.93"	"2.97"
"695"	NA	"2.93"	"2.94"
"712"	NA	"2.95"	"2.94"
"728"	NA	"2.96"	"2.96"
"745"	NA	"2.97"	"2.94"
"762"	NA	"2.95"	"2.96"
"778"	NA	"2.93"	"2.96"
"795"	NA	"2.97"	"2.99"
"812"	NA	"2.96"	"2.99"
"828"	NA	"2.97"	"2.97"
"845"	NA	"2.97"	"2.97"
"862"	NA	"2.98"	"2.98"
"878"	NA	"2.96"	"3.01"
"895"	NA	"3.01"	"3.03"
"912"	NA	"2.98"	"2.99"
"928"	NA	"3"	"3.01"
"945"	NA	"3.04"	"3.05"
"961"	NA	"3.01"	"3.04"
"978"	NA	"3.04"	"3.06"
"995"	NA	"3.05"	"3.08"
"1011"	NA	"3.07"	"3.08"
"1028"	NA	"3.06"	"3.09"
"1045"	NA	"3.08"	"3.11"
"1061"	NA	"3.08"	"3.11"
"1078"	NA	"3.12"	"3.12"
"1095"	NA	"3.11"	"3.11"
"1111"	NA	"3.12"	"3.16"
"1128"	NA	"3.12"	"3.17"
"1145"	NA	"3.13"	"3.16"
"1161"	NA	"3.15"	"3.18"
"1178"	NA	"3.15"	"3.2"
"1195"	NA	"3.15"	"3.17"
"1211"	NA	"3.17"	"3.2"
"1228"	NA	"3.19"	"3.23"
"1245"	NA	"3.18"	"3.24"
"1261"	NA	"3.21"	"3.22"
"1278"	NA	"3.21"	"3.27"
"1295"	NA	"3.22"	"3.27"
"1311"	NA	"3.21"	"3.26"
"1328"	NA	"3.23"	"3.31"
"1345"	NA	"3.25"	"3.28"
"1361"	NA	"3.22"	"3.25"
"1378"	NA	"3.22"	"3.28"
"1395"	NA	"3.18"	NA
"1411"	NA	"3.04"	NA
"1428"	NA	NA	NA
"1445"	NA	NA	NA
"1462"	NA	NA	NA
"1478"	NA	NA	NA
"1495"	NA	NA	NA
"1512"	NA	NA	NA
"1528"	NA	NA	NA
"1545"	NA	NA	NA
"1562"	NA	NA	NA
"1578"	NA	NA	NA
"1595"	NA	NA	NA
"1612"	NA	NA	NA
"1628"	NA	NA	NA
"1645"	NA	NA	NA
"1662"	NA	NA	NA
"1678"	NA	NA	NA
"1695"	NA	NA	NA
"1712"	NA	NA	NA
"1728"	NA	NA	NA
"1745"	NA	NA	NA
"1762"	NA	NA	NA
"1778"	NA	NA	NA
"1795"	NA	NA	NA
"1812"	NA	NA	NA
"1828"	NA	NA	NA
"1845"	NA	NA	NA
"1862"	NA	NA	NA
"1878"	NA	NA	NA
"1895"	NA	NA	NA
"1912"	NA	NA	NA
"1928"	NA	NA	NA
"1945"	NA	NA	NA
"1962"	NA	NA	NA
"1978"	NA	NA	NA
"1995"	NA	NA	NA
"2028"	NA	NA	NA
"2062"	NA	NA	NA
"2078"	NA	NA	NA
"2096"	NA	NA	NA
"2112"	NA	NA	NA
"2129"	NA	NA	NA
"2146"	NA	NA	NA
"2162"	NA	NA	NA
"2179"	NA	NA	NA
"2196"	NA	NA	NA
"2212"	NA	NA	NA
"2229"	NA	NA	NA
"2246"	NA	NA	NA
"2262"	NA	NA	NA
"2279"	NA	NA	NA
"2296"	NA	NA	NA
"2312"	NA	NA	NA
"2329"	NA	NA	NA
"2346"	NA	NA	NA
"2362"	NA	NA	NA
"2379"	NA	NA	NA
"2396"	NA	NA	NA
"2408"	NA	NA	NA
"2425"	NA	NA	NA
"2441"	NA	NA	NA
"2458"	NA	NA	NA
"2475"	NA	NA	NA
"2491"	NA	NA	NA
"2508"	NA	NA	NA
"2524"	NA	NA	NA
"2541"	NA	NA	NA
"2558"	NA	NA	NA
"2575"	NA	NA	NA
"2591"	NA	NA	NA
"2608"	NA	NA	NA
"2625"	NA	NA	NA
"2641"	NA	NA	NA
"2658"	NA	NA	NA
"2675"	NA	NA	NA
"2691"	NA	NA	NA
"2708"	NA	NA	NA
"2725"	NA	NA	NA
"2741"	NA	NA	NA
"2758"	NA	NA	NA
"2775"	NA	NA	NA
"2791"	NA	NA	NA
"2808"	NA	NA	NA
"2825"	NA	NA	NA
"2841"	NA	NA	NA
"2858"	NA	NA	NA
"2875"	NA	NA	NA
"2891"	NA	NA	NA
"2908"	NA	NA	NA
"2925"	NA	NA	NA
"2941"	NA	NA	NA
"2958"	NA	NA	NA
"2975"	NA	NA	NA
"2991"	NA	NA	NA
"3008"	NA	NA	NA
"3025"	NA	NA	NA
"3041"	NA	NA	NA
"3058"	NA	NA	NA
"3075"	NA	NA	NA
"3091"	NA	NA	NA
"3107"	NA	NA	NA
"3123"	NA	NA	NA
"3140"	NA	NA	NA
"3157"	NA	NA	NA
"3173"	NA	NA	NA
"3190"	NA	NA	NA
"3207"	NA	NA	NA
"3223"	NA	NA	NA
"3240"	NA	NA	NA
"3257"	NA	NA	NA
"3273"	NA	NA	NA
"3290"	NA	NA	NA
"3307"	NA	NA	NA
"3323"	NA	NA	NA
"3340"	NA	NA	NA
"3357"	NA	NA	NA
"3373"	NA	NA	NA
"3390"	NA	NA	NA
"3407"	NA	NA	NA
