"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"38"	NA	NA	NA
"54"	NA	NA	NA
"71"	NA	NA	NA
"88"	NA	NA	NA
"104"	NA	NA	NA
"121"	NA	"3.10"	"3.10"
"134"	NA	NA	NA
"137"	NA	NA	NA
"154"	NA	"3.07"	"3.05"
"171"	NA	NA	NA
"188"	NA	"3.06"	"3.04"
"204"	NA	NA	NA
"221"	NA	"3.02"	"3.03"
"237"	NA	NA	NA
"254"	NA	"3.02"	"3.04"
"271"	NA	"3.02"	"3.00"
"288"	NA	"3.00"	"2.98"
"305"	NA	"2.97"	"2.96"
"321"	NA	"2.97"	"2.96"
"338"	NA	"2.94"	"2.89"
"355"	NA	"2.88"	"3.01"
"371"	NA	"2.92"	"2.94"
"388"	NA	"2.91"	"2.88"
"404"	NA	"2.86"	"2.87"
"421"	NA	"2.87"	"2.90"
"438"	NA	"2.91"	"2.89"
"455"	NA	"2.88"	"2.93"
"471"	NA	"2.87"	"2.84"
"488"	NA	"2.89"	"2.85"
"505"	NA	"2.86"	"2.88"
"521"	NA	"2.85"	"2.90"
"538"	NA	"2.88"	"2.93"
"555"	NA	"2.88"	"2.95"
"571"	NA	"2.93"	"2.95"
"588"	NA	"2.95"	"2.94"
"605"	NA	"2.97"	"3.01"
"621"	NA	"2.98"	"3.04"
"638"	NA	"2.95"	"3.06"
"654"	NA	"3.00"	"3.06"
"671"	NA	"2.98"	"3.08"
"688"	NA	NA	NA
"704"	NA	NA	NA
"721"	NA	NA	NA
"738"	NA	NA	NA
"754"	NA	NA	NA
"771"	NA	NA	NA
"788"	NA	NA	NA
"804"	NA	NA	NA
"821"	NA	NA	NA
"838"	NA	NA	NA
"854"	NA	NA	NA
"871"	NA	NA	NA
"888"	NA	NA	NA
"904"	NA	NA	NA
"921"	NA	NA	NA
"938"	NA	NA	NA
"954"	NA	NA	NA
"971"	NA	NA	NA
"988"	NA	NA	NA
"1004"	NA	NA	NA
"1021"	NA	NA	NA
"1038"	NA	NA	NA
"1054"	NA	NA	NA
"1071"	NA	NA	NA
"1088"	NA	NA	NA
"1104"	NA	NA	NA
"1121"	NA	NA	NA
"1138"	NA	NA	NA
"1154"	NA	NA	NA
"1171"	NA	NA	NA
"1188"	NA	"3.67"	NA
"1204"	NA	"3.63"	"3.85"
"1221"	NA	"3.70"	"3.86"
"1238"	NA	"3.71"	"3.85"
"1254"	NA	"3.71"	"3.88"
"1271"	NA	"3.76"	"3.91"
"1288"	NA	NA	"3.93"
"1304"	NA	NA	NA
"1321"	NA	NA	NA
"1338"	NA	"3.70"	NA
"1354"	NA	"3.76"	NA
"1371"	NA	"3.78"	"3.98"
"1388"	NA	"3.81"	"3.95"
"1405"	NA	"3.81"	"3.97"
"1421"	NA	"3.84"	"3.98"
"1438"	NA	"3.84"	"4.02"
"1454"	NA	"3.85"	"3.98"
"1471"	NA	"3.88"	"4.03"
"1487"	NA	NA	NA
"1505"	NA	"3.83"	"3.99"
"1521"	NA	"3.78"	"3.98"
"1538"	NA	"3.81"	"3.99"
"1555"	NA	"3.79"	"3.98"
"1571"	NA	"3.84"	"3.97"
"1588"	NA	"3.78"	"4.00"
"1605"	NA	"3.78"	"3.99"
"1621"	NA	"3.80"	"3.99"
"1638"	NA	"3.78"	"3.98"
"1655"	NA	"3.75"	"4.01"
"1671"	NA	"3.79"	"3.97"
"1688"	NA	"3.78"	"3.96"
"1705"	NA	"3.75"	"3.99"
"1721"	NA	"3.77"	"3.95"
"1738"	NA	"3.77"	"3.99"
"1754"	NA	"3.76"	"3.98"
"1771"	NA	"3.78"	"3.96"
"1788"	NA	"3.78"	"3.94"
"1805"	NA	"3.77"	"3.96"
"1821"	NA	"3.75"	"3.94"
"1838"	NA	"3.78"	"3.97"
"1855"	NA	"3.75"	"3.96"
"1871"	NA	"3.76"	"3.94"
"1888"	NA	"3.75"	"3.96"
"1905"	NA	"3.78"	"3.93"
"1921"	NA	"3.81"	"3.98"
"1938"	NA	"3.71"	"4.00"
"1955"	NA	"3.76"	"4.01"
"1971"	NA	"3.75"	"4.01"
"1988"	NA	"3.77"	"4.02"
"2005"	NA	"3.75"	"3.99"
"2021"	NA	"3.77"	"4.01"
"2038"	NA	"3.80"	"4.02"
"2055"	NA	"3.76"	"4.00"
"2071"	NA	"3.74"	"4.02"
"2088"	NA	"3.78"	"3.99"
"2105"	NA	"3.79"	"4.03"
"2121"	NA	"3.77"	"4.00"
"2138"	NA	"3.76"	"3.97"
"2155"	NA	"3.71"	"3.99"
"2171"	NA	"3.74"	"3.98"
"2188"	NA	"3.74"	"3.95"
"2205"	NA	"3.74"	"3.97"
"2221"	NA	"3.74"	"3.93"
"2238"	NA	"3.73"	"3.93"
"2255"	NA	"3.73"	"3.90"
"2271"	NA	NA	"3.91"
"2288"	NA	NA	"3.87"
"2305"	NA	NA	"3.87"
"2321"	NA	NA	"3.81"
"2338"	NA	NA	"3.86"
"2355"	NA	NA	"3.84"
"2371"	NA	NA	"3.83"
"2388"	NA	NA	"3.81"
"2404"	NA	NA	"3.81"
"2421"	NA	NA	"3.81"
"2438"	NA	NA	"3.80"
"2454"	NA	NA	"3.78"
"2471"	NA	NA	"3.79"
"2488"	NA	NA	"3.83"
"2504"	NA	NA	"3.81"
"2521"	NA	NA	"3.81"
"2538"	NA	NA	"3.78"
"2554"	NA	"3.56"	"3.80"
"2571"	NA	"3.58"	"3.72"
"2588"	NA	"3.56"	NA
"2604"	NA	"3.51"	NA
"2621"	NA	NA	NA
"2638"	NA	NA	NA
"2654"	NA	NA	NA
"2671"	NA	NA	NA
"2688"	NA	NA	NA
"2705"	NA	NA	NA
"2721"	NA	NA	NA
"2738"	NA	NA	NA
"2754"	NA	NA	NA
"2771"	NA	NA	NA
"2788"	NA	NA	NA
"2804"	NA	NA	NA
"2821"	NA	NA	NA
"2838"	NA	NA	NA
"2854"	NA	NA	NA
"2871"	NA	NA	NA
"2888"	NA	NA	NA
"2904"	NA	NA	NA
"2921"	NA	NA	NA
"2938"	NA	NA	NA
"2954"	NA	NA	NA
"2971"	NA	NA	NA
"2988"	NA	NA	NA
"3004"	NA	NA	NA
"3021"	NA	NA	NA
"3038"	NA	NA	NA
"3054"	NA	NA	NA
"3071"	NA	NA	NA
"3088"	NA	NA	NA
"3104"	NA	NA	NA
"3121"	NA	NA	NA
"3138"	NA	NA	NA
"3154"	NA	NA	NA
"3188"	NA	NA	NA
"3221"	NA	NA	NA
"3238"	NA	NA	NA
"3254"	NA	NA	NA
"3288"	NA	NA	NA
"3304"	NA	NA	NA
"3321"	NA	NA	NA
"3338"	NA	NA	NA
"3354"	NA	NA	NA
"3371"	NA	NA	NA
"3388"	NA	NA	NA
"3404"	NA	NA	NA
"3421"	NA	NA	NA
"3438"	NA	NA	NA
"3454"	NA	NA	NA
"3471"	NA	NA	NA
"3488"	NA	NA	NA
"3504"	NA	NA	NA
"3521"	NA	NA	NA
"3538"	NA	NA	NA
"3554"	NA	NA	NA
"3571"	NA	NA	NA
"3588"	NA	NA	NA
"3604"	NA	NA	NA
"3621"	NA	NA	NA
"3638"	NA	NA	NA
"3654"	NA	NA	NA
"3671"	NA	NA	NA
"3688"	NA	NA	NA
"3704"	NA	NA	NA
"3721"	NA	NA	NA
"3738"	NA	NA	NA
"3754"	NA	NA	NA
"3771"	NA	NA	NA
"3788"	NA	NA	NA
"3804"	NA	NA	NA
"3821"	NA	NA	NA
"3838"	NA	NA	NA
"3854"	NA	NA	NA
"3871"	NA	NA	NA
"3888"	NA	NA	NA
"3904"	NA	NA	NA
"3921"	NA	NA	NA
"3938"	NA	NA	NA
"3954"	NA	NA	NA
"3971"	NA	NA	NA
"3988"	NA	NA	NA
"4004"	NA	NA	NA
"4021"	NA	NA	NA
"4038"	NA	NA	NA
"4054"	NA	NA	NA
"4071"	NA	NA	NA
"4088"	NA	NA	NA
"4104"	NA	NA	NA
"4121"	NA	NA	NA
"4138"	NA	NA	NA
"4154"	NA	NA	NA
"4171"	NA	NA	NA
"4188"	NA	NA	NA
"4204"	NA	NA	NA
"4221"	NA	NA	NA
"4238"	NA	NA	NA
"4254"	NA	NA	NA
"4271"	NA	NA	NA
"4288"	NA	NA	NA
"4304"	NA	NA	NA
"4321"	NA	NA	NA
"4338"	NA	NA	NA
"4354"	NA	NA	NA
"4371"	NA	NA	NA
"4388"	NA	NA	NA
"4404"	NA	NA	NA
"4421"	NA	NA	NA
"4438"	NA	NA	NA
"4454"	NA	NA	NA
"4471"	NA	NA	NA
"4488"	NA	NA	NA
"4504"	NA	NA	NA
"4521"	NA	NA	NA
"4538"	NA	NA	NA
"4554"	NA	NA	NA
"4571"	NA	NA	NA
"4588"	NA	NA	NA
"4604"	NA	NA	NA
"4621"	NA	NA	NA
"4638"	NA	NA	NA
"4654"	NA	NA	NA
"4671"	NA	NA	NA
"4688"	NA	NA	NA
"4704"	NA	NA	NA
"4721"	NA	NA	NA
"4738"	NA	NA	NA
"4754"	NA	NA	NA
"4771"	NA	NA	NA
"4788"	NA	NA	NA
"4804"	NA	NA	NA
"4821"	NA	NA	NA
"4838"	NA	NA	NA
"4854"	NA	NA	NA
"4871"	NA	NA	NA
"4888"	NA	NA	NA
"4904"	NA	NA	NA
"4921"	NA	NA	NA
"4938"	NA	NA	NA
"4954"	NA	NA	NA
"4971"	NA	NA	NA
"4988"	NA	NA	NA
"5004"	NA	NA	NA
"5021"	NA	NA	NA
"5038"	NA	NA	NA
"5054"	NA	NA	NA
"5071"	NA	NA	NA
"5088"	NA	NA	NA
"5104"	NA	NA	NA
"5121"	NA	NA	NA
"5138"	NA	NA	NA
"5154"	NA	NA	NA
"5171"	NA	NA	NA
"5188"	NA	NA	NA
"5204"	NA	NA	NA
"5221"	NA	NA	NA
"5238"	NA	NA	NA
"5254"	NA	NA	NA
"5271"	NA	NA	NA
"5288"	NA	NA	NA
"5304"	NA	NA	NA
"5321"	NA	NA	NA
"5338"	NA	NA	NA
"5354"	NA	NA	NA
"5371"	NA	NA	NA
"5388"	NA	NA	NA
"5404"	NA	NA	NA
"5421"	NA	NA	NA
"5438"	NA	NA	NA
"5454"	NA	NA	NA
"5471"	NA	NA	NA
"5488"	NA	NA	NA
"5504"	NA	NA	NA
"5521"	NA	NA	NA
"5538"	NA	NA	NA
"5554"	NA	NA	NA
"5571"	NA	NA	NA
"5588"	NA	NA	NA
"5604"	NA	NA	NA
"5621"	NA	NA	NA
"5638"	NA	NA	NA
"5654"	NA	NA	NA
"5671"	NA	NA	NA
"5688"	NA	NA	NA
"5704"	NA	NA	NA
"5721"	NA	NA	NA
"5738"	NA	NA	NA
"5754"	NA	NA	NA
"5771"	NA	NA	NA
"5788"	NA	NA	NA
"5804"	NA	NA	NA
"5821"	NA	NA	NA
"5837"	NA	NA	NA
"5854"	NA	NA	NA
"5871"	NA	NA	NA
"5887"	NA	NA	NA
"5904"	NA	NA	NA
"5921"	NA	NA	NA
"5937"	NA	NA	NA
"5954"	NA	NA	NA
"5971"	NA	NA	NA
"5987"	NA	NA	NA
"6004"	NA	NA	NA
"6021"	NA	NA	NA
"6037"	NA	NA	NA
"6054"	NA	NA	NA
"6071"	NA	NA	NA
"6087"	NA	NA	NA
"6104"	NA	NA	NA
"6121"	NA	NA	NA
"6137"	NA	NA	NA
"6154"	NA	NA	NA
"6171"	NA	NA	NA
"6187"	NA	NA	NA
"6204"	NA	NA	NA
"6221"	NA	NA	NA
"6237"	NA	NA	NA
"6254"	NA	NA	NA
"6271"	NA	NA	NA
"6287"	NA	NA	NA
"6304"	NA	NA	NA
"6321"	NA	NA	NA
"6337"	NA	NA	NA
"6354"	NA	NA	NA
"6371"	NA	NA	NA
"6387"	NA	NA	NA
"6404"	NA	NA	NA
"6421"	NA	NA	NA
"6437"	NA	NA	NA
"6454"	NA	NA	NA
"6471"	NA	NA	NA
"6487"	NA	NA	NA
"6504"	NA	NA	NA
"6521"	NA	NA	NA
"6537"	NA	NA	NA
"6554"	NA	NA	NA
"6571"	NA	NA	NA
"6587"	NA	NA	NA
"6604"	NA	NA	NA
"6621"	NA	NA	NA
"6637"	NA	NA	NA
"6654"	NA	NA	NA
"6671"	NA	NA	NA
"6687"	NA	NA	NA
"6704"	NA	NA	NA
"6721"	NA	NA	NA
"6737"	NA	NA	NA
"6754"	NA	NA	NA
"6771"	NA	NA	NA
"6787"	NA	NA	NA
"6804"	NA	NA	NA
"6821"	NA	NA	NA
"6837"	NA	NA	NA
"6854"	NA	NA	NA
"6871"	NA	NA	NA
"6887"	NA	NA	NA
"6904"	NA	NA	NA
"6921"	NA	NA	NA
"6937"	NA	NA	NA
"6954"	NA	NA	NA
"6971"	NA	NA	NA
"6987"	NA	NA	NA
"7004"	NA	NA	NA
"7021"	NA	NA	NA
"7037"	NA	NA	NA
"7054"	NA	NA	NA
"7071"	NA	NA	NA
"7087"	NA	NA	NA
"7104"	NA	NA	NA
"7121"	NA	NA	NA
"7137"	NA	NA	NA
"7154"	NA	NA	NA
"7171"	NA	NA	NA
"7187"	NA	NA	NA
"7204"	NA	NA	NA
"7221"	NA	NA	NA
"7237"	NA	NA	NA
"7254"	NA	NA	NA
"7271"	NA	NA	NA
"7287"	NA	NA	NA
"7304"	NA	NA	NA
"7321"	NA	NA	NA
"7337"	NA	NA	NA
"7354"	NA	NA	NA
"7371"	NA	NA	NA
"7387"	NA	NA	NA
"7404"	NA	NA	NA
"7421"	NA	NA	NA
"7437"	NA	NA	NA
"7454"	NA	NA	NA
"7471"	NA	NA	NA
"7487"	NA	NA	NA
"7504"	NA	NA	NA
"7521"	NA	NA	NA
"7537"	NA	NA	NA
"7554"	NA	NA	NA
"7571"	NA	NA	NA
"7587"	NA	NA	NA
"7604"	NA	NA	NA
"7621"	NA	NA	NA
"7637"	NA	NA	NA
"7654"	NA	NA	NA
"7671"	NA	NA	NA
"7687"	NA	NA	NA
"7704"	NA	NA	NA
"7721"	NA	NA	NA
"7737"	NA	NA	NA
"7754"	NA	NA	NA
"7771"	NA	NA	NA
"7787"	NA	NA	NA
"7804"	NA	NA	NA
"7821"	NA	NA	NA
"7837"	NA	NA	NA
"7854"	NA	NA	NA
"7871"	NA	NA	NA
"7887"	NA	NA	NA
"7904"	NA	NA	NA
"7921"	NA	NA	NA
"7937"	NA	NA	NA
"7954"	NA	NA	NA
"7971"	NA	NA	NA
"7987"	NA	NA	NA
"8004"	NA	NA	NA
"8021"	NA	NA	NA
"8037"	NA	NA	NA
"8054"	NA	NA	NA
"8071"	NA	NA	NA
"8087"	NA	NA	NA
"8104"	NA	NA	NA
"8121"	NA	NA	NA
"8137"	NA	NA	NA
"8154"	NA	NA	NA
"8171"	NA	NA	NA
"8187"	NA	NA	NA
"8204"	NA	NA	NA
"8221"	NA	NA	NA
"8237"	NA	NA	NA
"8254"	NA	NA	NA
"8271"	NA	NA	NA
"8287"	NA	NA	NA
"8304"	NA	NA	NA
"8321"	NA	NA	NA
"8337"	NA	NA	NA
"8354"	NA	NA	NA
"8371"	NA	NA	NA
"8387"	NA	NA	NA
"8404"	NA	NA	NA
"8421"	NA	NA	NA
"8437"	NA	NA	NA
"8454"	NA	NA	NA
"8471"	NA	NA	NA
"8487"	NA	NA	NA
"8504"	NA	NA	NA
"8521"	NA	NA	NA
"8537"	NA	NA	NA
"8554"	NA	NA	NA
"8571"	NA	NA	NA
"8587"	NA	NA	NA
"8604"	NA	NA	NA
"8621"	NA	NA	NA
"8637"	NA	NA	NA
"8654"	NA	NA	NA
"8671"	NA	NA	NA
"8687"	NA	NA	NA
"8704"	NA	NA	NA
"8721"	NA	NA	NA
"8737"	NA	NA	NA
"8754"	NA	NA	NA
"8771"	NA	NA	NA
"8787"	NA	NA	NA
"8804"	NA	NA	NA
"8821"	NA	NA	NA
"8837"	NA	NA	NA
"8854"	NA	NA	NA
"8871"	NA	NA	NA
"8887"	NA	NA	NA
"8904"	NA	NA	NA
"8921"	NA	NA	NA
"8937"	NA	NA	NA
"8954"	NA	NA	NA
"8971"	NA	NA	NA
"8987"	NA	NA	NA
"9004"	NA	NA	NA
"9021"	NA	NA	NA
"9037"	NA	NA	NA
"9054"	NA	NA	NA
"9071"	NA	NA	NA
"9087"	NA	NA	NA
"9104"	NA	NA	NA
"9121"	NA	NA	NA
"9137"	NA	NA	NA
"9154"	NA	NA	NA
"9171"	NA	NA	NA
"9187"	NA	NA	NA
"9204"	NA	NA	NA
"9221"	NA	NA	NA
"9237"	NA	NA	NA
"9254"	NA	NA	NA
"9271"	NA	NA	NA
"9287"	NA	NA	NA
"9304"	NA	NA	NA
"9321"	NA	NA	NA
"9337"	NA	NA	NA
"9354"	NA	NA	NA
"9371"	NA	NA	NA
"9387"	NA	NA	NA
"9404"	NA	NA	NA
"9421"	NA	NA	NA
"9437"	NA	NA	NA
"9454"	NA	NA	NA
"9471"	NA	NA	NA
"9487"	NA	NA	NA
"9504"	NA	NA	NA
"9521"	NA	NA	NA
"9537"	NA	NA	NA
"9554"	NA	NA	NA
"9571"	NA	NA	NA
"9587"	NA	NA	NA
"9604"	NA	NA	NA
"9621"	NA	NA	NA
"9637"	NA	NA	NA
"9654"	NA	NA	NA
"9671"	NA	NA	NA
"9687"	NA	NA	NA
"9704"	NA	NA	NA
"9721"	NA	NA	NA
"9737"	NA	NA	NA
"9754"	NA	NA	NA
"9771"	NA	NA	NA
"9787"	NA	NA	NA
"9804"	NA	NA	NA
"9821"	NA	NA	NA
"9837"	NA	NA	NA
"9854"	NA	NA	NA
"9871"	NA	NA	NA
"9887"	NA	NA	NA
"9904"	NA	NA	NA
"9921"	NA	NA	NA
"9937"	NA	NA	NA
"9954"	NA	NA	NA
"9971"	NA	NA	NA
"9987"	NA	NA	NA
"10004"	NA	NA	NA
"10021"	NA	NA	NA
"10037"	NA	NA	NA
"10054"	NA	NA	NA
"10071"	NA	NA	NA
"10087"	NA	NA	NA
"10104"	NA	NA	NA
"10121"	NA	NA	NA
"10137"	NA	NA	NA
"10154"	NA	NA	NA
"10171"	NA	NA	NA
"10187"	NA	NA	NA
"10204"	NA	NA	NA
"10221"	NA	NA	NA
"10237"	NA	NA	NA
"10254"	NA	NA	NA
"10271"	NA	NA	NA
"10287"	NA	NA	NA
"10304"	NA	NA	NA
"10321"	NA	NA	NA
"10337"	NA	NA	NA
"10354"	NA	NA	NA
"10371"	NA	NA	NA
"10387"	NA	NA	NA
"10404"	NA	NA	NA
"10421"	NA	NA	NA
"10437"	NA	NA	NA
"10454"	NA	NA	NA
"10471"	NA	NA	NA
"10487"	NA	NA	NA
"10504"	NA	NA	NA
"10521"	NA	NA	NA
"10537"	NA	NA	NA
"10554"	NA	NA	NA
"10571"	NA	NA	NA
"10587"	NA	NA	NA
"10604"	NA	NA	NA
"10621"	NA	NA	NA
"10632"	NA	NA	NA
"10649"	NA	NA	NA
"10666"	NA	NA	NA
"10682"	NA	NA	NA
"10699"	NA	NA	NA
"10715"	NA	NA	NA
"10732"	NA	NA	NA
"10749"	NA	NA	NA
"10766"	NA	NA	NA
"10782"	NA	NA	NA
"10799"	NA	NA	NA
"10815"	NA	NA	NA
"10832"	NA	NA	NA
"10849"	NA	NA	NA
"10866"	NA	NA	NA
"10882"	NA	NA	NA
"10899"	NA	"3.90"	NA
"10916"	NA	"3.95"	NA
"10932"	NA	"3.96"	NA
"10949"	NA	"3.96"	NA
"10966"	NA	"3.94"	NA
