"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"44"	NA	"3.61"	"3.55"
"60"	NA	"3.6"	"3.53"
"77"	NA	"3.6"	"3.53"
"94"	NA	"3.61"	"3.48"
"110"	NA	"3.55"	"3.49"
"114"	NA	NA	NA
"127"	NA	"3.51"	"3.44"
"144"	NA	"3.49"	"3.37"
"160"	NA	"3.46"	"3.39"
"177"	NA	"3.45"	"3.37"
"194"	NA	"3.45"	"3.33"
"210"	NA	"3.4"	"3.31"
"227"	NA	"3.36"	"3.26"
"244"	NA	"3.35"	"3.26"
"260"	NA	"3.36"	"3.24"
"277"	NA	"3.32"	"3.21"
"294"	NA	"3.28"	"3.18"
"310"	NA	"3.3"	"3.18"
"327"	NA	"3.27"	"3.16"
"344"	NA	"3.23"	"3.16"
"360"	NA	"3.25"	"3.11"
"377"	NA	"3.21"	"3.1"
"394"	NA	"3.17"	"3.1"
"410"	NA	"3.18"	"3.1"
"427"	NA	"3.19"	"3.06"
"444"	NA	"3.18"	"3.07"
"460"	NA	"3.15"	"3.03"
"477"	NA	"3.17"	"3.04"
"494"	NA	"3.2"	"3.05"
"510"	NA	"3.16"	"3.05"
"527"	NA	"3.2"	"3.04"
"544"	NA	"3.14"	"3.08"
"560"	NA	"3.18"	"3.06"
"577"	NA	"3.17"	"3.06"
"594"	NA	"3.19"	"3.06"
"610"	NA	"3.22"	"3.08"
"627"	NA	"3.24"	"3.06"
"644"	NA	"3.22"	"3.09"
"660"	NA	"3.27"	"3.09"
"677"	NA	"3.22"	"3.11"
"694"	NA	"3.27"	"3.14"
"710"	NA	"3.28"	"3.11"
"727"	NA	"3.27"	"3.1"
"744"	NA	"3.28"	"3.12"
"760"	NA	"3.26"	"3.16"
"777"	NA	"3.22"	"3.15"
"794"	NA	"3.3"	"3.16"
"810"	NA	"3.28"	"3.15"
"827"	NA	"3.29"	"3.11"
"844"	NA	"3.29"	"3.16"
"860"	NA	"3.3"	"3.16"
"877"	NA	"3.29"	"3.16"
"894"	NA	"3.29"	"3.16"
"910"	NA	"3.31"	"3.17"
"927"	NA	"3.3"	"3.15"
"944"	NA	"3.29"	"3.18"
"960"	NA	"3.33"	"3.15"
"977"	NA	"3.31"	"3.2"
"994"	NA	"3.33"	"3.16"
"1010"	NA	"3.31"	"3.17"
"1027"	NA	"3.32"	"3.2"
"1044"	NA	"3.34"	"3.19"
"1060"	NA	"3.37"	"3.22"
"1077"	NA	"3.32"	"3.21"
"1094"	NA	"3.33"	"3.22"
"1110"	NA	"3.36"	"3.23"
"1127"	NA	"3.36"	"3.26"
"1144"	NA	"3.33"	"3.27"
"1160"	NA	"3.35"	"3.25"
"1177"	NA	"3.4"	"3.24"
"1194"	NA	"3.44"	"3.31"
"1210"	NA	"3.39"	"3.31"
"1227"	NA	"3.42"	"3.3"
"1244"	NA	"3.43"	"3.32"
"1260"	NA	"3.45"	"3.32"
"1277"	NA	"3.43"	"3.33"
"1294"	NA	"3.43"	"3.29"
"1310"	NA	"3.41"	"3.32"
"1327"	NA	"3.45"	"3.34"
"1343"	NA	"3.47"	"3.33"
"1360"	NA	"3.5"	"3.38"
"1377"	NA	"3.48"	"3.38"
"1393"	NA	"3.51"	"3.39"
"1410"	NA	"3.5"	"3.38"
"1427"	NA	"3.48"	"3.39"
"1443"	NA	"3.48"	"3.4"
"1460"	NA	"3.53"	"3.4"
"1477"	NA	"3.46"	"3.4"
"1493"	NA	"3.5"	"3.38"
"1510"	NA	"3.49"	"3.4"
"1527"	NA	"3.53"	"3.39"
"1543"	NA	"3.51"	"3.41"
"1560"	NA	"3.53"	"3.39"
"1577"	NA	"3.49"	"3.4"
"1593"	NA	"3.51"	"3.4"
"1610"	NA	"3.49"	"3.43"
