"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"61"	NA	NA	"2.9"
"77"	NA	"3"	"2.88"
"94"	NA	"2.95"	"2.88"
"111"	NA	"2.97"	"2.81"
"127"	NA	NA	NA
"127"	NA	"2.92"	"2.83"
"144"	NA	"2.91"	"2.83"
"161"	NA	"2.89"	"2.81"
"177"	NA	"2.87"	"2.8"
"194"	NA	"2.88"	"2.77"
"211"	NA	"2.87"	"2.76"
"227"	NA	"2.88"	"2.75"
"244"	NA	"2.86"	"2.74"
"261"	NA	"2.85"	"2.71"
"277"	NA	"2.84"	"2.76"
"294"	NA	"2.85"	"2.71"
"311"	NA	"2.86"	"2.74"
"327"	NA	"2.85"	"2.75"
"344"	NA	"2.85"	"2.71"
"361"	NA	"2.84"	"2.68"
"377"	NA	"2.85"	"2.75"
"394"	NA	"2.78"	"2.85"
"411"	NA	"2.97"	"2.9"
"427"	NA	"2.95"	"2.83"
"444"	NA	"2.25"	"2.75"
"461"	NA	"2.93"	"2.75"
"477"	NA	"2.87"	"2.67"
"494"	NA	"2.92"	"2.72"
"511"	NA	"2.86"	"2.68"
"527"	NA	"2.94"	"2.82"
"544"	NA	"2.97"	"2.7"
"561"	NA	"2.96"	NA
"577"	NA	"2.98"	NA
"594"	NA	NA	"2.68"
"611"	NA	NA	"2.63"
"627"	NA	NA	"2.61"
"644"	NA	NA	"2.81"
"661"	NA	NA	"2.66"
"678"	NA	NA	"2.93"
"694"	NA	NA	"2.65"
"711"	NA	NA	"2.88"
"727"	NA	NA	"3.01"
"744"	NA	NA	"3.03"
"761"	NA	NA	"3.06"
"778"	NA	NA	"3.06"
"794"	NA	NA	"3.03"
"811"	NA	NA	"3.09"
"828"	NA	"2.92"	"3.06"
"844"	NA	"3.22"	"3.06"
"861"	NA	"3.21"	"3.07"
"878"	NA	"3.25"	"3.09"
"894"	NA	"3.31"	"3.13"
"911"	NA	"3.26"	"3.12"
"928"	NA	"3.25"	"3.14"
"944"	NA	"3.26"	"3.13"
"961"	NA	"3.34"	"3.17"
"978"	NA	"3.33"	"3.17"
"994"	NA	"3.34"	"3.18"
"1011"	NA	"3.34"	"3.19"
"1028"	NA	"3.35"	"3.19"
"1044"	NA	"3.35"	"3.27"
"1061"	NA	"3.39"	"3.23"
"1077"	NA	"3.37"	"3.28"
"1094"	NA	"3.4"	"3.25"
"1111"	NA	"3.4"	"3.27"
"1127"	NA	"3.39"	"3.24"
"1144"	NA	"3.48"	"3.29"
"1161"	NA	"3.46"	"3.1"
"1177"	NA	"3.45"	"3.29"
"1194"	NA	"3.46"	"3.3"
"1211"	NA	"3.44"	"3.31"
"1227"	NA	"3.44"	"3.28"
"1244"	NA	"3.47"	"3.35"
"1261"	NA	"3.49"	"3.2"
"1277"	NA	"3.48"	"3.33"
"1294"	NA	"3.56"	"3.35"
"1311"	NA	"3.5"	"3.33"
"1327"	NA	"3.52"	"3.34"
"1344"	NA	"3.51"	"3.44"
"1361"	NA	"3.58"	"3.32"
"1377"	NA	"3.59"	"3.5"
"1394"	NA	"3.55"	"3.14"
"1411"	NA	"3.63"	"3.47"
"1427"	NA	"3.63"	"3.47"
"1444"	NA	"3.64"	"3.49"
"1461"	NA	"3.64"	"3.39"
"1477"	NA	"3.61"	"3.41"
"1494"	NA	"3.68"	"3.42"
"1511"	NA	"3.6"	"3.43"
"1527"	NA	"3.7"	"3.44"
"1544"	NA	"3.7"	"3.47"
"1561"	NA	"3.63"	"3.45"
"1577"	NA	"3.73"	"3.47"
"1594"	NA	"3.73"	"3.47"
"1611"	NA	"3.64"	"3.49"
"1627"	NA	"3.76"	"3.49"
"1644"	NA	"3.76"	"3.5"
"1661"	NA	"3.76"	"3.52"
"1677"	NA	"3.8"	"3.54"
"1694"	NA	"3.78"	"3.56"
"1711"	NA	"3.84"	"3.6"
"1727"	NA	"3.78"	"3.57"
"1744"	NA	"3.85"	"3.58"
"1761"	NA	"3.86"	"3.51"
"1777"	NA	"3.89"	"3.62"
"1794"	NA	"3.69"	"3.63"
"1811"	NA	"4.04"	"3.58"
"1827"	NA	"3.68"	"3.62"
"1844"	NA	"4.04"	"3.61"
"1861"	NA	"3.72"	"3.59"
"1877"	NA	NA	"3.62"
"1894"	NA	"3.78"	"3.63"
"1911"	NA	"3.76"	"3.75"
"1927"	NA	"3.76"	"3.64"
"1944"	NA	NA	"3.65"
"1961"	NA	"3.78"	"3.69"
"1977"	NA	"3.84"	"3.74"
"1994"	NA	"3.83"	"3.66"
"2011"	NA	"3.83"	"3.71"
"2027"	NA	"4.0999999999999996"	"3.7"
"2044"	NA	"3.83"	"3.66"
"2061"	NA	"3.82"	"3.7"
"2077"	NA	"3.79"	"3.95"
"2094"	NA	"3.8"	"3.66"
"2111"	NA	"3.85"	"3.68"
"2127"	NA	"3.79"	"3.64"
"2144"	NA	"3.76"	"3.64"
"2160"	NA	"3.76"	"3.66"
"2177"	NA	"3.98"	"3.66"
"2194"	NA	"3.76"	"3.63"
"2210"	NA	"3.76"	"3.67"
"2227"	NA	"3.77"	"3.84"
"2244"	NA	"3.73"	"3.65"
"2260"	NA	"4.1500000000000004"	"3.81"
"2277"	NA	"3.74"	"3.65"
"2294"	NA	"3.77"	"3.67"
"2310"	NA	"3.74"	"3.87"
"2327"	NA	"3.77"	"3.89"
"2331"	NA	NA	NA
"2331"	NA	NA	NA
"2344"	NA	"3.76"	"3.89"
"2360"	NA	"3.77"	"3.88"
"2377"	NA	"3.78"	"3.89"
"2394"	NA	"3.78"	"3.68"
"2410"	NA	"3.79"	"3.88"
"2427"	NA	"3.79"	"3.7"
"2444"	NA	"3.78"	"3.72"
"2460"	NA	"3.77"	"3.73"
"2477"	NA	"4.1100000000000003"	"3.73"
"2494"	NA	"3.8"	"3.94"
"2510"	NA	"3.83"	"3.77"
"2527"	NA	"3.81"	"3.74"
"2544"	NA	"4.0599999999999996"	"3.98"
"2560"	NA	"3.95"	"3.8"
"2577"	NA	"3.84"	"3.75"
"2594"	NA	"3.9"	"3.8"
"2611"	NA	"3.88"	"3.75"
"2627"	NA	"3.87"	"3.78"
"2644"	NA	"3.87"	"3.78"
"2661"	NA	"3.9"	"3.76"
"2677"	NA	"3.85"	"3.78"
"2694"	NA	"3.9"	"3.81"
"2711"	NA	"3.87"	"3.76"
"2727"	NA	"3.85"	"3.79"
"2744"	NA	"3.84"	"3.75"
"2761"	NA	"3.9"	"3.75"
"2777"	NA	"3.91"	"3.85"
"2794"	NA	"3.9"	"3.9"
"2811"	NA	"3.9"	"3.72"
"2827"	NA	"3.84"	"3.84"
"2844"	NA	"3.84"	"3.77"
"2861"	NA	"3.94"	"3.78"
"2877"	NA	"3.88"	"3.78"
"2880"	"star_calib.avi"	NA	NA
"2894"	"star_calib.avi"	"3.85"	"3.76"
"2911"	"star_calib.avi"	"3.83"	"3.86"
"2927"	"star_calib.avi"	"3.83"	"3.76"
"2944"	"star_calib.avi"	"3.85"	"3.73"
"2961"	"star_calib.avi"	"3.85"	"3.71"
"2977"	"star_calib.avi"	"3.87"	"3.79"
"2994"	"star_calib.avi"	"3.83"	"4.04"
"3011"	"star_calib.avi"	"3.85"	"3.79"
"3027"	"star_calib.avi"	"3.86"	"3.77"
"3044"	"star_calib.avi"	"3.83"	"3.95"
"3061"	"star_calib.avi"	"3.83"	"3.78"
"3077"	"star_calib.avi"	"3.84"	"3.78"
"3094"	"star_calib.avi"	"3.84"	"3.77"
"3111"	"star_calib.avi"	"3.83"	"3.79"
"3127"	"star_calib.avi"	"3.83"	"4"
"3144"	"star_calib.avi"	"3.85"	"3.8"
"3161"	"star_calib.avi"	"3.87"	"3.78"
"3177"	"star_calib.avi"	"3.86"	"3.79"
"3194"	"star_calib.avi"	"3.88"	"3.8"
"3211"	"star_calib.avi"	"3.85"	"4.01"
"3227"	"star_calib.avi"	"3.89"	"3.81"
"3244"	"star_calib.avi"	"3.86"	"3.99"
"3261"	"star_calib.avi"	"3.87"	"4.0199999999999996"
"3277"	"star_calib.avi"	"3.87"	"3.97"
"3294"	"star_calib.avi"	"3.89"	"3.8"
"3311"	"star_calib.avi"	"3.89"	"3.83"
"3327"	"star_calib.avi"	"3.89"	"3.78"
"3344"	"star_calib.avi"	"4.0999999999999996"	"4.03"
"3361"	"star_calib.avi"	"3.93"	"4.03"
"3377"	"star_calib.avi"	"4.18"	"3.85"
"3394"	"star_calib.avi"	"3.92"	"3.83"
"3411"	"star_calib.avi"	"4.13"	"3.94"
"3427"	"star_calib.avi"	"3.93"	"3.83"
"3444"	"star_calib.avi"	"3.99"	"3.87"
"3461"	"star_calib.avi"	"3.93"	"3.79"
"3477"	"star_calib.avi"	"3.94"	"3.86"
"3494"	"star_calib.avi"	"3.88"	"3.64"
"3511"	"star_calib.avi"	"3.97"	"4.2"
"3527"	"star_calib.avi"	"3.97"	"3.88"
"3544"	"star_calib.avi"	"3.82"	"3.86"
"3561"	"star_calib.avi"	"3.97"	"3.85"
"3577"	"star_calib.avi"	"3.97"	"3.75"
"3594"	"star_calib.avi"	"3.97"	"3.86"
"3611"	"star_calib.avi"	"3.95"	"3.86"
"3627"	"star_calib.avi"	"3.96"	"3.85"
"3644"	"star_calib.avi"	"3.94"	"3.84"
"3661"	"star_calib.avi"	"4.26"	"3.81"
"3677"	"star_calib.avi"	"3.99"	"3.86"
"3694"	"star_calib.avi"	"3.97"	"3.77"
"3711"	"star_calib.avi"	"3.95"	"3.83"
"3727"	"star_calib.avi"	"3.95"	"3.79"
"3744"	"star_calib.avi"	"3.98"	"3.72"
"3761"	"star_calib.avi"	"3.97"	"3.9"
"3777"	"star_calib.avi"	"3.98"	"4.2300000000000004"
"3794"	"star_calib.avi"	"3.91"	"4.1900000000000004"
"3811"	"star_calib.avi"	"4.09"	"4.28"
"3827"	"star_calib.avi"	"4.4800000000000004"	"3.87"
"3844"	"star_calib.avi"	"3.96"	"4.25"
"3861"	"star_calib.avi"	"3.98"	"3.79"
"3877"	"star_calib.avi"	"3.99"	"4.16"
"3894"	"star_calib.avi"	"4"	"3.84"
"3911"	"star_calib.avi"	"4.3"	"3.88"
"3927"	"star_calib.avi"	"4.04"	"3.87"
"3944"	"star_calib.avi"	"4.4800000000000004"	"3.91"
"3961"	"star_calib.avi"	"4.3099999999999996"	"3.98"
"3977"	"star_calib.avi"	"4.3600000000000003"	"3.9"
"3994"	"star_calib.avi"	"4.0199999999999996"	"4.3099999999999996"
"4011"	"star_calib.avi"	"4.04"	"3.89"
"4027"	"star_calib.avi"	"4.01"	"3.8"
"4044"	"star_calib.avi"	"4.34"	"3.89"
"4061"	"star_calib.avi"	"3.97"	"3.9"
"4077"	"star_calib.avi"	"4.0199999999999996"	"3.73"
"4094"	"star_calib.avi"	"4.01"	"3.94"
"4111"	"star_calib.avi"	"3.93"	"3.81"
"4127"	"star_calib.avi"	"4.03"	"3.83"
"4144"	"star_calib.avi"	"4.01"	"3.76"
