"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"59"	NA	"3.01"	"2.93"
"76"	NA	"2.98"	"2.95"
"93"	NA	"2.99"	"2.93"
"109"	NA	"3"	"2.93"
"125"	NA	NA	NA
"126"	NA	"2.98"	"2.92"
"143"	NA	"2.98"	"2.91"
"159"	NA	"2.99"	"2.92"
"176"	NA	"2.98"	"2.89"
"193"	NA	"3.01"	"2.92"
"209"	NA	"3"	"2.89"
"226"	NA	"2.99"	"2.92"
"243"	NA	"2.99"	"2.89"
"259"	NA	"2.98"	"2.87"
"276"	NA	"2.96"	"2.88"
"293"	NA	"2.93"	"2.89"
"309"	NA	"2.93"	"2.86"
"326"	NA	"2.93"	"2.84"
"343"	NA	"2.91"	"2.87"
"359"	NA	"2.94"	"2.87"
"376"	NA	"2.93"	"2.84"
"393"	NA	"2.97"	"2.84"
"409"	NA	"2.95"	"2.85"
"426"	NA	"2.96"	"2.79"
"443"	NA	"2.95"	NA
"459"	NA	"2.97"	NA
"476"	NA	"2.97"	"2.83"
"493"	NA	"3.02"	"2.84"
"509"	NA	"3.02"	"2.87"
"526"	NA	"3.01"	"2.85"
"543"	NA	"3"	"2.84"
"559"	NA	"3.01"	"2.89"
"576"	NA	"3.04"	"2.9"
"593"	NA	"3.04"	"2.89"
"609"	NA	"3.08"	"2.93"
"626"	NA	"3.09"	"2.95"
"643"	NA	"3.08"	"2.94"
"659"	NA	"3.11"	"2.95"
"676"	NA	"3.11"	"2.96"
"693"	NA	"3.13"	"2.99"
"709"	NA	"3.17"	"3.01"
"726"	NA	"3.15"	"3.01"
"743"	NA	"3.19"	"3.02"
"759"	NA	"3.18"	"3.02"
"776"	NA	"3.2"	"3.02"
"793"	NA	"3.22"	"3.05"
"809"	NA	"3.22"	"3.06"
"826"	NA	"3.25"	"3.09"
"843"	NA	"3.25"	"3.08"
"844"	NA	NA	NA
"844"	NA	NA	NA
"859"	NA	"3.25"	"3.09"
"876"	NA	"3.25"	"3.1"
"893"	NA	"3.26"	"3.13"
"909"	NA	"3.3"	"3.13"
"926"	NA	"3.3"	"3.14"
"943"	NA	"3.31"	"3.16"
"959"	NA	"3.32"	"3.15"
"976"	NA	"3.34"	"3.19"
"993"	NA	"3.35"	"3.18"
"1009"	NA	"3.32"	"3.19"
"1026"	NA	"3.33"	"3.22"
"1043"	NA	"3.39"	"3.22"
"1059"	NA	"3.4"	"3.23"
"1076"	NA	"3.4"	"3.25"
"1093"	NA	"3.42"	"3.26"
"1109"	NA	"3.41"	"3.26"
"1126"	NA	"3.45"	"3.26"
"1143"	NA	"3.46"	"3.27"
"1159"	NA	"3.44"	"3.29"
"1176"	NA	"3.5"	"3.27"
"1193"	NA	"3.49"	"3.3"
"1209"	NA	"3.48"	"3.3"
"1226"	NA	"3.49"	"3.31"
"1243"	NA	"3.51"	"3.32"
"1259"	NA	"3.53"	"3.32"
"1276"	NA	"3.51"	"3.34"
"1293"	NA	"3.53"	"3.33"
"1309"	NA	"3.51"	"3.34"
"1326"	NA	"3.54"	"3.32"
