"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"48"	NA	"3.33"	"3.68"
"64"	NA	"3.28"	"3.61"
"81"	NA	"3.37"	"3.6"
"95"	NA	NA	NA
"98"	NA	"3.32"	"3.49"
"114"	NA	"3.31"	"3.46"
"131"	NA	"3.28"	"3.37"
"148"	NA	"3.17"	"3.3"
"165"	NA	"3.18"	"3.41"
"181"	NA	"3.14"	"3.25"
"198"	NA	"3.08"	"3.26"
"215"	NA	"3.11"	"3.34"
"231"	NA	"3.07"	"3.29"
"248"	NA	"3.11"	"3.3"
"265"	NA	"3.05"	"3.38"
"281"	NA	"3.01"	NA
"298"	NA	"3.04"	"3.18"
"315"	NA	"3"	"3.17"
"331"	NA	"3.04"	"3.22"
"348"	NA	"3.03"	"3.24"
"365"	NA	"3.01"	"3.28"
"381"	NA	"3.04"	"3.28"
"398"	NA	"3.03"	"3.26"
"415"	NA	"3.04"	"3.17"
"431"	NA	"3.03"	"3.17"
"448"	NA	"3.02"	"3.3"
"465"	NA	"3.07"	"3.33"
"481"	NA	"3.14"	"3.11"
"498"	NA	"3.16"	"3.08"
"515"	NA	"3.28"	"2.97"
"531"	NA	"3.27"	"2.94"
"548"	NA	"3.28"	"3.02"
"565"	NA	"3.33"	NA
"581"	NA	"3.21"	NA
"598"	NA	"3.23"	NA
"615"	NA	"3.23"	NA
"631"	NA	"3.41"	"3.01"
"648"	NA	"3.32"	"3.02"
"665"	NA	"3.12"	"3.05"
"681"	NA	"3.06"	NA
"698"	NA	"3.26"	NA
"715"	NA	"3.27"	NA
"731"	NA	"3.15"	"3.11"
"748"	NA	NA	"3.14"
"765"	NA	NA	"3.11"
"781"	NA	"3.53"	"3.17"
"798"	NA	"3.33"	"3.19"
"815"	NA	"3.42"	"3.24"
"831"	NA	"3.41"	"3.18"
"848"	NA	"3.49"	"3.22"
"865"	NA	"3.42"	"3.19"
"881"	NA	"3.4"	"3.25"
"898"	NA	"3.22"	"3.27"
"915"	NA	"3.25"	"3.31"
"931"	NA	"3.5"	"3.34"
"948"	NA	"3.47"	"3.31"
"964"	NA	"3.49"	"3.39"
"981"	NA	"3.68"	"3.33"
"998"	NA	"3.48"	"3.41"
"1015"	NA	"3.7"	NA
"1031"	NA	"3.55"	NA
"1048"	NA	"3.57"	NA
"1064"	NA	"3.59"	NA
"1081"	NA	NA	NA
"1098"	NA	NA	NA
"1114"	NA	NA	"3.54"
"1131"	NA	NA	"3.49"
"1148"	NA	NA	"3.55"
"1165"	NA	NA	"3.53"
"1181"	NA	NA	NA
"1198"	NA	NA	"3.61"
"1215"	NA	NA	"3.57"
"1231"	NA	NA	"3.57"
"1248"	NA	NA	"3.57"
"1265"	NA	NA	"3.56"
"1281"	NA	NA	NA
"1298"	NA	NA	NA
"1315"	NA	NA	NA
"1331"	NA	NA	NA
"1348"	NA	NA	NA
"1365"	NA	NA	NA
"1381"	NA	NA	NA
"1398"	NA	NA	NA
"1415"	NA	NA	NA
"1431"	NA	NA	NA
"1448"	NA	NA	NA
"1465"	NA	NA	NA
"1481"	NA	NA	NA
"1498"	NA	NA	NA
"1515"	NA	NA	NA
"1531"	NA	NA	NA
"1548"	NA	NA	NA
"1565"	NA	NA	NA
"1581"	NA	NA	NA
