"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"54"	NA	"2.52"	"2.57"
"71"	NA	"2.5099999999999998"	"2.4900000000000002"
"87"	NA	"2.5299999999999998"	"2.5299999999999998"
"104"	NA	"2.4900000000000002"	"2.54"
"113"	NA	NA	NA
"121"	NA	"2.5"	NA
"137"	NA	"2.48"	"2.54"
"154"	NA	"2.52"	"2.52"
"171"	NA	"2.5099999999999998"	NA
"187"	NA	"2.5299999999999998"	"2.62"
"204"	NA	"2.5499999999999998"	"2.56"
"221"	NA	"2.56"	"2.58"
"237"	NA	"2.56"	NA
"254"	NA	"2.56"	"2.6"
"271"	NA	"2.61"	NA
"287"	NA	"2.69"	"2.67"
"304"	NA	"2.64"	NA
"321"	NA	"2.72"	"2.68"
"337"	NA	"2.7"	NA
"354"	NA	"2.72"	"2.7"
"371"	NA	"2.73"	"2.75"
"387"	NA	"2.75"	"2.77"
"404"	NA	"2.78"	"2.75"
"421"	NA	"2.76"	"2.79"
"437"	NA	"2.77"	NA
"454"	NA	"2.84"	"2.8"
"471"	NA	"2.86"	"2.82"
"487"	NA	"2.86"	"2.86"
"504"	NA	"2.89"	NA
"521"	NA	"2.91"	"2.91"
"537"	NA	"2.9"	"2.93"
"554"	NA	"2.93"	"2.93"
"571"	NA	"2.95"	NA
"587"	NA	"2.92"	"2.94"
"604"	NA	"3.02"	"3.04"
"621"	NA	"3.05"	"3.06"
"637"	NA	"3.06"	"3.08"
"654"	NA	"3.1"	"3.13"
"671"	NA	"3.14"	"3.07"
"687"	NA	"3.18"	"3.08"
"704"	NA	"3.18"	"3.07"
"721"	NA	"3.2"	"3.1"
"737"	NA	"3.22"	"3.13"
"754"	NA	"3.21"	"3.14"
"771"	NA	"3.21"	"3.14"
"787"	NA	"3.2"	"3.16"
"804"	NA	"3.26"	"3.14"
"821"	NA	"3.23"	"3.12"
"837"	NA	"3.25"	"3.15"
"854"	NA	"3.19"	"3.23"
"870"	NA	"3.22"	"3.21"
"887"	NA	"3.2"	"3.2"
"904"	NA	"3.2"	"3.21"
"920"	NA	"3.29"	"3.22"
"937"	NA	"3.25"	"3.25"
"954"	NA	"3.27"	"3.23"
"970"	NA	"3.28"	"3.25"
"987"	NA	"3.32"	"3.24"
"1004"	NA	"3.31"	"3.23"
"1021"	NA	"3.31"	"3.26"
"1037"	NA	"3.33"	"3.29"
"1054"	NA	"3.37"	"3.3"
"1070"	NA	"3.34"	"3.3"
"1087"	NA	"3.34"	"3.34"
"1104"	NA	"3.32"	"3.32"
"1121"	NA	"3.38"	"3.37"
"1137"	NA	"3.36"	"3.38"
"1154"	NA	"3.35"	"3.4"
"1171"	NA	"3.39"	"3.36"
"1187"	NA	"3.41"	"3.4"
"1204"	NA	"3.38"	"3.36"
"1220"	NA	"3.44"	"3.45"
"1237"	NA	"3.41"	"3.38"
"1254"	NA	"3.45"	"3.42"
"1270"	NA	"3.4"	"3.48"
"1287"	NA	"3.42"	"3.41"
"1304"	NA	"3.42"	"3.51"
"1320"	NA	"3.52"	"3.5"
"1337"	NA	"3.46"	"3.52"
"1354"	NA	"3.48"	"3.46"
"1370"	NA	"3.48"	"3.46"
"1387"	NA	"3.47"	"3.49"
"1404"	NA	"3.5"	"3.44"
"1420"	NA	"3.5"	"3.43"
"1437"	NA	"3.54"	"3.61"
"1454"	NA	"3.52"	"3.64"
"1470"	NA	"3.49"	"3.62"
"1487"	NA	"3.53"	"3.55"
"1504"	NA	"3.52"	"3.59"
"1521"	NA	"3.52"	"3.54"
"1537"	NA	"3.54"	"3.56"
"1554"	NA	"3.51"	"3.57"
"1571"	NA	"3.54"	"3.58"
"1587"	NA	"3.61"	"3.7"
"1604"	NA	"3.57"	"3.68"
"1621"	NA	"3.58"	"3.65"
"1637"	NA	"3.58"	"3.56"
"1654"	NA	"3.62"	"3.57"
"1671"	NA	"3.55"	"3.57"
"1687"	NA	"3.58"	"3.48"
"1704"	NA	"3.55"	"3.53"
"1721"	NA	"3.55"	"3.53"
"1737"	NA	"3.55"	"3.63"
"1754"	NA	"3.63"	"3.63"
"1770"	NA	"3.67"	"3.58"
"1787"	NA	"3.65"	"3.67"
"1804"	NA	"3.62"	"3.67"
"1820"	NA	"3.64"	"3.58"
"1837"	NA	"3.64"	"3.67"
"1854"	NA	"3.64"	"3.7"
"1870"	NA	"3.67"	"3.69"
"1887"	NA	"3.66"	"3.7"
"1904"	NA	"3.68"	"3.73"
"1920"	NA	"3.69"	"3.74"
"1937"	NA	"3.68"	"3.8"
"1954"	NA	"3.75"	"3.8"
"1970"	NA	"3.74"	"3.65"
"1987"	NA	"3.69"	"3.73"
"2004"	NA	"3.7"	"3.68"
"2021"	NA	"3.77"	"3.77"
"2037"	NA	"3.69"	"3.8"
"2054"	NA	"3.78"	"3.81"
"2071"	NA	"3.71"	"3.86"
"2087"	NA	"3.81"	"3.74"
"2104"	NA	"3.78"	"3.86"
"2121"	NA	"3.7"	"3.71"
"2137"	NA	"3.68"	"3.86"
"2154"	NA	"3.69"	"3.95"
"2170"	NA	NA	"3.81"
"2187"	NA	"3.7"	"3.78"
"2204"	NA	"3.7"	"3.82"
"2220"	NA	"3.72"	"3.88"
"2237"	NA	"3.82"	"3.7"
"2254"	NA	"3.76"	"3.73"
"2270"	NA	"3.75"	"3.74"
"2287"	NA	"3.77"	"3.73"
"2304"	NA	"3.76"	"3.67"
"2320"	NA	"3.73"	"3.74"
"2337"	NA	"3.75"	"3.73"
"2354"	NA	"3.8"	"3.68"
"2370"	NA	"3.77"	"3.73"
"2387"	NA	"3.76"	"3.77"
"2404"	NA	"3.8"	"3.83"
"2420"	NA	"3.85"	"3.86"
"2437"	NA	"3.82"	"3.68"
"2454"	NA	"3.87"	"3.75"
"2470"	NA	"3.81"	"3.75"
"2487"	NA	"3.87"	"3.71"
"2504"	NA	"3.83"	"3.78"
"2520"	NA	"3.79"	"3.96"
"2537"	NA	"3.85"	"4.01"
"2554"	NA	"3.82"	"3.9"
"2570"	NA	"3.86"	"3.91"
"2587"	NA	"3.83"	"3.93"
"2604"	NA	"3.83"	"3.87"
"2620"	NA	"3.83"	"3.89"
"2637"	NA	"3.95"	"3.89"
"2654"	NA	"3.89"	"3.84"
"2670"	NA	"3.84"	"3.81"
"2687"	NA	"3.87"	"3.79"
"2704"	NA	"3.88"	"3.83"
"2720"	NA	"3.88"	"3.82"
"2737"	NA	"3.86"	"3.86"
"2754"	NA	"3.93"	"3.91"
"2770"	NA	"3.82"	"3.86"
"2787"	NA	"3.82"	"3.78"
"2804"	NA	"3.84"	"3.77"
"2820"	NA	"3.84"	"3.78"
"2837"	NA	"3.76"	"3.96"
"2854"	NA	"3.82"	"3.85"
"2870"	NA	"3.87"	"4"
"2887"	NA	"3.91"	"3.8"
"2904"	NA	"3.78"	"3.78"
"2920"	NA	"3.83"	"3.73"
"2937"	NA	"3.77"	"3.78"
"2954"	NA	"3.85"	"3.86"
"2970"	NA	"3.8"	"3.84"
"2987"	NA	"3.79"	"3.77"
"3004"	NA	"3.97"	"3.95"
"3020"	NA	"3.97"	"3.94"
"3037"	NA	"4"	"4.04"
"3054"	NA	"3.99"	"3.93"
"3070"	NA	"3.95"	"3.94"
"3087"	NA	"4"	"3.86"
"3104"	NA	"4.01"	"4.1500000000000004"
"3120"	NA	"4"	"4"
"3137"	NA	"4.01"	"3.89"
"3154"	NA	"4.05"	"3.9"
"3170"	NA	"3.94"	"4.13"
"3187"	NA	"4.04"	"4.0199999999999996"
"3204"	NA	"3.9"	"4.2699999999999996"
"3220"	NA	"3.97"	"4.22"
"3237"	NA	"4.03"	"4.0599999999999996"
"3254"	NA	"3.97"	"4.03"
"3270"	NA	"3.87"	"3.94"
"3287"	NA	"3.96"	"4.07"
"3304"	NA	"3.97"	"3.94"
"3320"	NA	"3.93"	"3.87"
"3337"	NA	"3.97"	"3.91"
"3354"	NA	"4.03"	"3.86"
"3370"	NA	"4.04"	"3.99"
"3387"	NA	"3.83"	"4.08"
"3404"	NA	"3.89"	"3.9"
"3420"	NA	"3.91"	"3.9"
"3437"	NA	"3.89"	"3.9"
"3454"	NA	"3.91"	"3.89"
"3470"	NA	"3.9"	"4.0599999999999996"
"3487"	NA	"3.96"	"3.84"
"3504"	NA	"4"	"3.84"
"3520"	NA	"3.91"	"3.94"
"3537"	NA	"3.9"	"3.92"
"3554"	NA	"3.91"	"3.83"
"3570"	NA	"3.89"	"3.94"
"3587"	NA	"4.0199999999999996"	"4"
"3604"	NA	"4.03"	"4.08"
"3620"	NA	"4.0199999999999996"	"4.09"
"3637"	NA	"4.04"	"4.08"
"3654"	NA	"4.05"	"4.0999999999999996"
"3670"	NA	"4.07"	"4.08"
"3687"	NA	"4.03"	"4.1100000000000003"
"3704"	NA	"4.13"	"4.1100000000000003"
"3720"	NA	"4.0199999999999996"	"3.93"
"3737"	NA	"4.03"	"3.89"
"3754"	NA	"4.04"	"3.99"
"3770"	NA	"4.04"	"3.9"
"3787"	NA	"4.04"	"3.92"
"3804"	NA	"4"	"3.9"
"3820"	NA	"4.0199999999999996"	"4.0599999999999996"
"3837"	NA	"3.95"	"3.97"
"3854"	NA	"3.98"	"3.92"
"3870"	NA	"4.07"	"4.01"
"3887"	NA	"4.0599999999999996"	"4.12"
"3904"	NA	"4"	"4.01"
"3920"	NA	"3.93"	"4.07"
"3937"	NA	"3.88"	"4.01"
"3954"	NA	"3.9"	"4.07"
"3970"	NA	"3.92"	"3.98"
"3987"	NA	"3.88"	"3.89"
"4004"	NA	"3.9"	"3.91"
"4020"	NA	"3.88"	"3.91"
"4037"	NA	"3.94"	"4.0599999999999996"
"4054"	NA	"3.97"	"3.86"
"4070"	NA	"3.97"	"3.91"
"4087"	NA	"3.95"	"4.04"
"4104"	NA	"3.94"	"4.05"
"4120"	NA	"3.98"	"4.05"
"4137"	NA	"3.92"	"3.93"
"4154"	NA	"3.9"	"3.87"
"4170"	NA	"3.99"	"3.9"
"4187"	NA	"3.89"	"3.96"
"4204"	NA	"3.89"	"3.92"
"4220"	NA	"3.91"	"4.05"
"4237"	NA	"3.99"	"4.03"
"4254"	NA	"4.01"	"4.05"
"4270"	NA	"3.96"	"4.0599999999999996"
"4287"	NA	"3.95"	"4.03"
"4304"	NA	"3.93"	"3.96"
"4320"	NA	"3.88"	"3.92"
"4337"	NA	"3.96"	"4.0199999999999996"
"4354"	NA	"3.98"	"4.0199999999999996"
"4370"	NA	"3.98"	"3.94"
"4387"	NA	"3.96"	"3.94"
"4398"	NA	NA	NA
"4404"	NA	"3.9"	"3.96"
"4408"	NA	NA	NA
"4420"	NA	"3.94"	"4.03"
"4437"	NA	"4.0199999999999996"	"3.94"
"4454"	NA	"4.07"	"3.92"
"4470"	NA	"4"	"3.89"
"4487"	NA	"4.0999999999999996"	"4"
"4504"	NA	"3.99"	"3.93"
"4520"	NA	"3.99"	"3.91"
"4537"	NA	"3.98"	"4.0199999999999996"
"4554"	NA	"4"	"3.9"
"4570"	NA	"4.0199999999999996"	"4.04"
"4587"	NA	"4.0199999999999996"	"3.91"
"4604"	NA	"3.98"	"3.92"
"4620"	NA	"4"	"3.97"
"4637"	NA	"4.01"	"3.98"
"4654"	NA	"3.97"	"4.1100000000000003"
"4670"	NA	"4.0199999999999996"	"4.13"
"4687"	NA	"3.99"	"3.96"
"4704"	NA	"4.07"	"4.1100000000000003"
"4720"	NA	"4.0599999999999996"	"4.24"
"4737"	NA	"4.07"	NA
"4754"	NA	"4.17"	NA
"4770"	NA	"4.09"	NA
"4787"	NA	"4.13"	NA
"4804"	NA	"4.05"	NA
"4820"	NA	"4.1100000000000003"	NA
"4837"	NA	NA	NA
"4854"	NA	NA	NA
"4870"	NA	NA	NA
"4887"	NA	NA	NA
"4904"	NA	NA	NA
"4920"	NA	NA	NA
"4937"	NA	NA	NA
"4954"	NA	NA	NA
"4967"	"star_calib.avi"	NA	NA
"4970"	"star_calib.avi"	NA	NA
